State	Year	Deaths	Population	suigunrate	adjsuigunrate
New Hampshire	2009	82	1316102	6.2	5.8
New Hampshire	2010	102	1316470	7.7	7
New Hampshire	2011	75	1318194	5.7	5.1
New Hampshire	2012	98	1320718	7.4	6.7
New Hampshire	2013	82	1323459	6.2	5.6
New Hampshire	2014	110	1326813	8.3	7.7
New Hampshire	2015	107	1330608	8	7.8
New Hampshire	2016	123	1334795	9.2	8.7
New Hampshire	2017	132	1342795	9.8	9.2
New Hampshire	2018	135	1356458	10	9.1
New Hampshire	2019	132	1359711	9.7	8.9
New Hampshire	2020	118	1366275	8.6	8.2
New Jersey	1999	195	8359592	2.3	2.3
New Jersey	2000	154	8414350	1.8	1.8
New Jersey	2001	167	8492671	2	1.9
New Jersey	2002	176	8552643	2.1	2
New Jersey	2003	183	8601402	2.1	2.1
New Jersey	2004	185	8634561	2.1	2.1
New Jersey	2005	136	8651974	1.6	1.5
New Jersey	2006	173	8661679	2	1.9
New Jersey	2007	165	8677885	1.9	1.8
New Jersey	2008	175	8711090	2	1.9
New Jersey	2009	173	8755602	2	1.9
New Jersey	2010	188	8791894	2.1	2
New Jersey	2011	181	8821155	2.1	1.9
New Jersey	2012	160	8864590	1.8	1.7
New Jersey	2013	194	8899339	2.2	2
New Jersey	2014	194	8938175	2.2	2
New Jersey	2015	189	8958013	2.1	1.9
New Jersey	2016	176	8944469	2	1.8
New Jersey	2017	204	9005644	2.3	2.1
New Jersey	2018	193	8908520	2.2	2
New Jersey	2019	173	8882190	1.9	1.7
New Jersey	2020	181	8882371	2	1.8
New Mexico	1999	180	1808082	10	10.3
New Mexico	2000	175	1819046	9.6	9.8
New Mexico	2001	188	1831690	10.3	10.6
New Mexico	2002	211	1855309	11.4	11.6
New Mexico	2003	212	1877574	11.3	11.4
New Mexico	2004	196	1903808	10.3	10.3
New Mexico	2005	178	1932274	9.2	9.2
New Mexico	2006	193	1962137	9.8	9.8
New Mexico	2007	189	1990070	9.5	9.5
New Mexico	2008	195	2010662	9.7	9.5
New Mexico	2009	192	2036802	9.4	9.1
New Mexico	2010	204	2059179	9.9	9.8
New Mexico	2011	221	2082224	10.6	10.5
New Mexico	2012	230	2085538	11	10.9
New Mexico	2013	222	2085287	10.6	10.3
New Mexico	2014	244	2085572	11.7	11.2
New Mexico	2015	275	2085109	13.2	12.6
New Mexico	2016	243	2081015	11.7	11
New Mexico	2017	262	2088070	12.5	11.9
New Mexico	2018	281	2095428	13.4	12.6
New Mexico	2019	284	2096829	13.5	12.7
New Mexico	2020	304	2106319	14.4	13.8
New York	1999	439	18882725	2.3	2.3
New York	2000	451	18976457	2.4	2.3
New York	2001	457	19082838	2.4	2.4
New York	2002	411	19137800	2.1	2.1
New York	2003	413	19175939	2.2	2.1
New York	2004	404	19171567	2.1	2
New York	2005	456	19132610	2.4	2.3
New York	2006	412	19104631	2.2	2.1
New York	2007	442	19132335	2.3	2.2
New York	2008	430	19212436	2.2	2.1
New York	2009	422	19307066	2.2	2
New York	2010	459	19378102	2.4	2.3
New York	2011	507	19465197	2.6	2.5
New York	2012	518	19570261	2.6	2.5
New York	2013	466	19651127	2.4	2.2
New York	2014	474	19746227	2.4	2.2
New York	2015	421	19795791	2.1	2
New York	2016	490	19745289	2.5	2.3
New York	2017	433	19849399	2.2	2
New York	2018	445	19542209	2.3	2.1
New York	2019	455	19453561	2.3	2.1
New York	2020	463	19336776	2.4	2.1
North Carolina	1999	572	7949361	7.2	7.1
North Carolina	2000	624	8049313	7.8	7.7
North Carolina	2001	636	8210122	7.7	7.7
North Carolina	2002	633	8326201	7.6	7.6
North Carolina	2003	623	8422501	7.4	7.3
North Carolina	2004	610	8553152	7.1	7.1
North Carolina	2005	634	8705407	7.3	7.2
North Carolina	2006	661	8917270	7.4	7.3
North Carolina	2007	607	9118037	6.7	6.5
North Carolina	2008	669	9309449	7.2	7
North Carolina	2009	679	9449566	7.2	7
North Carolina	2010	707	9535483	7.4	7.2
North Carolina	2011	728	9656401	7.5	7.3
North Carolina	2012	710	9752073	7.3	6.9
North Carolina	2013	771	9848060	7.8	7.5
North Carolina	2014	760	9943964	7.6	7.2
North Carolina	2015	787	10042802	7.8	7.3
North Carolina	2016	788	10146788	7.8	7.4
North Carolina	2017	840	10273419	8.2	7.7
North Carolina	2018	874	10383620	8.4	7.9
North Carolina	2019	781	10488084	7.4	7
North Carolina	2020	879	10600823	8.3	7.9
North Dakota	1999	39	644259	6.1	5.8
North Dakota	2000	36	642200	5.6	5.5
North Dakota	2001	41	639062	6.4	6.6
North Dakota	2002	54	638168	8.5	8.4
North Dakota	2003	41	638817	6.4	6.3
North Dakota	2004	41	644705	6.4	6.1
North Dakota	2005	56	646089	8.7	8.1
North Dakota	2006	41	649422	6.3	5.9
North Dakota	2007	49	652822	7.5	7.2
North Dakota	2008	55	657569	8.4	7.9
North Dakota	2009	50	664968	7.5	7.5
North Dakota	2010	56	672591	8.3	8.4
North Dakota	2011	52	683932	7.6	7.3
North Dakota	2012	63	699628	9	9.1
North Dakota	2013	76	723393	10.5	10.2
North Dakota	2014	85	739482	11.5	10.9
North Dakota	2015	76	756927	10	10.4
North Dakota	2016	75	757952	9.9	9.8
North Dakota	2017	93	755393	12.3	11.9
North Dakota	2018	75	760077	9.9	9.8
North Dakota	2019	80	762062	10.5	10.5
North Dakota	2020	78	765309	10.2	10.6
Ohio	1999	631	11335454	5.6	5.5
Ohio	2000	588	11353140	5.2	5.1
Ohio	2001	678	11387404	6	5.9
Ohio	2002	677	11407889	5.9	5.8
Ohio	2003	573	11434788	5	4.9
Ohio	2004	659	11452251	5.8	5.6
Ohio	2005	668	11463320	5.8	5.6
Ohio	2006	628	11481213	5.5	5.3
Ohio	2007	660	11500468	5.7	5.6
Ohio	2008	685	11515391	5.9	5.8
Ohio	2009	590	11528896	5.1	4.9
Ohio	2010	724	11536504	6.3	6.1
Ohio	2011	726	11544951	6.3	6
Ohio	2012	784	11544225	6.8	6.4
Ohio	2013	800	11570808	6.9	6.6
Ohio	2014	745	11594163	6.4	6.1
Ohio	2015	861	11613423	7.4	7.1
Ohio	2016	927	11614373	8	7.5
Ohio	2017	918	11658609	7.9	7.5
Ohio	2018	962	11689442	8.2	7.7
Ohio	2019	981	11689100	8.4	7.9
Ohio	2020	903	11693217	7.7	7.2
Oklahoma	1999	323	3437147	9.4	9.4
Oklahoma	2000	303	3450654	8.8	8.8
Oklahoma	2001	332	3467100	9.6	9.5
Oklahoma	2002	313	3489080	9	8.9
Oklahoma	2003	282	3504892	8	8
Oklahoma	2004	312	3525233	8.9	8.8
Oklahoma	2005	302	3548597	8.5	8.4
Oklahoma	2006	314	3594090	8.7	8.6
Oklahoma	2007	316	3634349	8.7	8.6
Oklahoma	2008	346	3668976	9.4	9.2
Oklahoma	2009	363	3717572	9.8	9.7
Oklahoma	2010	377	3751351	10	10
Oklahoma	2011	440	3791508	11.6	11.5
Oklahoma	2012	411	3814820	10.8	10.6
Oklahoma	2013	433	3850568	11.2	11.1
Oklahoma	2014	435	3878051	11.2	11.1
Oklahoma	2015	469	3911338	12	11.6
Oklahoma	2016	517	3923561	13.2	12.9
Oklahoma	2017	439	3930864	11.2	10.7
Oklahoma	2018	465	3943079	11.8	11.4
Oklahoma	2019	473	3956971	12	11.5
Oklahoma	2020	538	3980783	13.5	13.2
Oregon	1999	310	3393941	9.1	9
Oregon	2000	303	3421399	8.9	8.6
Oregon	2001	282	3467937	8.1	8
Oregon	2002	292	3513424	8.3	8.1
Oregon	2003	331	3547376	9.3	9
Oregon	2004	299	3569463	8.4	8
Oregon	2005	319	3613202	8.8	8.4
Oregon	2006	307	3670883	8.4	8
Oregon	2007	327	3722417	8.8	8.3
Oregon	2008	319	3768748	8.5	8
Oregon	2009	345	3808600	9.1	8.5
Oregon	2010	377	3831074	9.8	9.3
Oregon	2011	343	3871859	8.9	8.5
Oregon	2012	367	3899353	9.4	8.9
Oregon	2013	389	3930065	9.9	9.2
Oregon	2014	422	3970239	10.6	9.8
Oregon	2015	373	4028977	9.3	8.5
Oregon	2016	414	4093465	10.1	9.3
Oregon	2017	439	4142776	10.6	9.9
Oregon	2018	427	4190713	10.2	9.4
Oregon	2019	467	4217737	11.1	10.2
Oregon	2020	454	4241507	10.7	9.6
Pennsylvania	1999	711	12263805	5.8	5.6
Pennsylvania	2000	760	12281054	6.2	5.9
Pennsylvania	2001	685	12298970	5.6	5.4
Pennsylvania	2002	724	12331031	5.9	5.7
Pennsylvania	2003	728	12374658	5.9	5.6
Pennsylvania	2004	724	12410722	5.8	5.6
Pennsylvania	2005	768	12449990	6.2	5.9
Pennsylvania	2006	735	12510809	5.9	5.6
Pennsylvania	2007	719	12563937	5.7	5.5
Pennsylvania	2008	771	12612285	6.1	5.7
Pennsylvania	2009	825	12666858	6.5	6.1
Pennsylvania	2010	762	12702379	6	5.6
Pennsylvania	2011	884	12742886	6.9	6.5
Pennsylvania	2012	821	12763536	6.4	6
Pennsylvania	2013	919	12773801	7.2	6.7
Pennsylvania	2014	898	12787209	7	6.3
Pennsylvania	2015	932	12802503	7.3	6.7
Pennsylvania	2016	977	12784227	7.6	7.1
Pennsylvania	2017	993	12805537	7.8	7.1
Pennsylvania	2018	1026	12807060	8	7.3
Pennsylvania	2019	965	12801989	7.5	6.8
Pennsylvania	2020	920	12783254	7.2	6.5
Rhode Island	1999	35	1040402	3.4	3.3
Rhode Island	2000	27	1048319	2.6	2.5
Rhode Island	2001	25	1057142	2.4	2.3
Rhode Island	2002	31	1065995	2.9	2.9
Rhode Island	2003	12	1071342	Unreliable	Unreliable
Rhode Island	2004	22	1074579	2	1.9
Rhode Island	2005	19	1067916	Unreliable	Unreliable
Rhode Island	2006	27	1063096	2.5	2.4
Rhode Island	2007	24	1057315	2.3	2.2
Rhode Island	2008	23	1055003	2.2	2
Rhode Island	2009	40	1053646	3.8	3.5
Rhode Island	2010	30	1052567	2.9	2.8
Rhode Island	2011	20	1051302	1.9	1.7
Rhode Island	2012	27	1050292	2.6	2.6
Rhode Island	2013	34	1051511	3.2	3.2
Rhode Island	2014	20	1055173	1.9	1.7
Rhode Island	2015	40	1056298	3.8	3.5
Rhode Island	2016	35	1056426	3.3	2.8
Rhode Island	2017	33	1059639	3.1	2.9
Rhode Island	2018	23	1057315	2.2	2
Rhode Island	2019	33	1059361	3.1	2.9
Rhode Island	2020	30	1057125	2.8	2.7
South Carolina	1999	287	3974682	7.2	7.2
South Carolina	2000	297	4012012	7.4	7.4
South Carolina	2001	312	4064995	7.7	7.6
South Carolina	2002	304	4107795	7.4	7.4
South Carolina	2003	329	4150297	7.9	7.9
South Carolina	2004	328	4210921	7.8	7.6
South Carolina	2005	314	4270150	7.4	7.3
South Carolina	2006	315	4357847	7.2	7
South Carolina	2007	311	4444110	7	6.8
South Carolina	2008	343	4528996	7.6	7.2
South Carolina	2009	377	4589872	8.2	7.8
South Carolina	2010	393	4625364	8.5	8.3
South Carolina	2011	426	4679230	9.1	8.7
South Carolina	2012	434	4723723	9.2	8.5
South Carolina	2013	471	4774839	9.9	9.2
South Carolina	2014	479	4832482	9.9	9.4
South Carolina	2015	469	4896146	9.6	9.2
South Carolina	2016	525	4961119	10.6	9.9
South Carolina	2017	531	5024369	10.6	10
South Carolina	2018	493	5084127	9.7	9.1
South Carolina	2019	532	5148714	10.3	9.8
South Carolina	2020	565	5218040	10.8	10.3
South Dakota	1999	56	750412	7.5	7.4
South Dakota	2000	51	754844	6.8	6.8
South Dakota	2001	43	757972	5.7	5.6
South Dakota	2002	50	760020	6.6	6.4
South Dakota	2003	60	763729	7.9	7.8
South Dakota	2004	61	770396	7.9	7.9
South Dakota	2005	71	775493	9.2	8.8
South Dakota	2006	71	783033	9.1	8.9
South Dakota	2007	44	791623	5.6	5.3
South Dakota	2008	68	799124	8.5	8.6
South Dakota	2009	61	807067	7.6	7.6
South Dakota	2010	65	814180	8	8
South Dakota	2011	60	824082	7.3	7
South Dakota	2012	76	833354	9.1	8.7
South Dakota	2013	71	844877	8.4	8.9
South Dakota	2014	76	853175	8.9	8.8
South Dakota	2015	73	858469	8.5	8.2
South Dakota	2016	84	865454	9.7	10.2
South Dakota	2017	83	869666	9.5	9.6
South Dakota	2018	91	882235	10.3	10.4
South Dakota	2019	98	884659	11.1	11.3
South Dakota	2020	88	892717	9.9	9.6
Tennessee	1999	503	5638706	8.9	8.8
Tennessee	2000	505	5689283	8.9	8.8
Tennessee	2001	482	5750789	8.4	8.3
Tennessee	2002	523	5795918	9	8.9
Tennessee	2003	495	5847812	8.5	8.3
Tennessee	2004	527	5910809	8.9	8.8
Tennessee	2005	553	5991057	9.2	9
Tennessee	2006	569	6088766	9.3	9.1
Tennessee	2007	545	6175727	8.8	8.6
Tennessee	2008	610	6247411	9.8	9.4
Tennessee	2009	575	6306019	9.1	8.8
Tennessee	2010	585	6346105	9.2	8.9
Tennessee	2011	591	6403353	9.2	8.7
Tennessee	2012	628	6456243	9.7	9.2
Tennessee	2013	679	6495978	10.5	9.9
Tennessee	2014	644	6549352	9.8	9.3
Tennessee	2015	638	6600299	9.7	9.2
Tennessee	2016	675	6651194	10.1	9.7
Tennessee	2017	712	6715984	10.6	10
Tennessee	2018	690	6770010	10.2	9.6
Tennessee	2019	746	6829174	10.9	10.2
Tennessee	2020	767	6886834	11.1	10.5
Texas	1999	1230	20558220	6	6.4
Texas	2000	1281	20851820	6.1	6.5
Texas	2001	1380	21319622	6.5	6.9
Texas	2002	1316	21690325	6.1	6.5
Texas	2003	1352	22030931	6.1	6.5
Texas	2004	1321	22394023	5.9	6.2
Texas	2005	1381	22778123	6.1	6.4
Texas	2006	1311	23359580	5.6	5.9
Texas	2007	1416	23831983	5.9	6.2
Texas	2008	1507	24309039	6.2	6.4
Texas	2009	1588	24801761	6.4	6.6
Texas	2010	1703	25145561	6.8	7
Texas	2011	1691	25674681	6.6	6.8
Texas	2012	1748	26059203	6.7	6.9
Texas	2013	1786	26448193	6.8	6.9
Texas	2014	1793	26956958	6.7	6.8
Texas	2015	1996	27469114	7.3	7.3
Texas	2016	2019	27862596	7.2	7.3
Texas	2017	2165	28304596	7.6	7.6
Texas	2018	2267	28701845	7.9	7.9
Texas	2019	2239	28995881	7.7	7.7
Texas	2020	2291	29360759	7.8	7.8
Utah	1999	153	2203482	6.9	7.8
Utah	2000	174	2233169	7.8	9
Utah	2001	182	2283715	8	8.9
Utah	2002	174	2324815	7.5	8.3
Utah	2003	181	2360137	7.7	8.5
Utah	2004	183	2401580	7.6	8.4
Utah	2005	190	2457719	7.7	8.5
Utah	2006	189	2525507	7.5	8.4
Utah	2007	197	2597746	7.6	8.5
Utah	2008	196	2663029	7.4	8
Utah	2009	217	2723421	8	8.8
Utah	2010	275	2763885	9.9	10.7
Utah	2011	268	2817222	9.5	10.5
Utah	2012	284	2855287	9.9	11
Utah	2013	295	2900872	10.2	11
Utah	2014	278	2942902	9.4	10.3
Utah	2015	315	2995919	10.5	11.1
Utah	2016	309	3051217	10.1	11
Utah	2017	344	3101833	11.1	11.9
Utah	2018	339	3161105	10.7	11.4
Utah	2019	330	3205958	10.3	10.8
Utah	2020	339	3249879	10.4	10.8
Vermont	1999	49	604683	8.1	8
Vermont	2000	47	608827	7.7	7.5
Vermont	2001	43	612223	7	6.9
Vermont	2002	54	615442	8.8	8.4
Vermont	2003	38	617858	6.2	6
Vermont	2004	56	619920	9	8.7
Vermont	2005	36	621215	5.8	5.5
Vermont	2006	43	622892	6.9	6.3
Vermont	2007	43	623481	6.9	6.5
Vermont	2008	44	624151	7	6.5
Vermont	2009	59	624817	9.4	8.7
Vermont	2010	66	625741	10.5	9.6
Vermont	2011	70	626431	11.2	10.2
Vermont	2012	50	626011	8	7.7
Vermont	2013	59	626630	9.4	8.3
Vermont	2014	59	626562	9.4	8.6
Vermont	2015	59	626042	9.4	7.9
Vermont	2016	69	624594	11	9.7
Vermont	2017	62	623657	9.9	10.3
Vermont	2018	70	626299	11.2	10.7
Vermont	2019	59	623989	9.5	8
Vermont	2020	69	623347	11.1	10.2
Virginia	1999	505	7000174	7.2	7.2
Virginia	2000	484	7078515	6.8	6.9
Virginia	2001	467	7198362	6.5	6.5
Virginia	2002	492	7286873	6.8	6.8
Virginia	2003	453	7366977	6.1	6.1
Virginia	2004	495	7475575	6.6	6.6
Virginia	2005	511	7577105	6.7	6.6
Virginia	2006	499	7673725	6.5	6.3
Virginia	2007	487	7751000	6.3	6.2
Virginia	2008	524	7833496	6.7	6.5
Virginia	2009	527	7925937	6.6	6.4
Virginia	2010	576	8001024	7.2	7
Virginia	2011	604	8096604	7.5	7.2
Virginia	2012	588	8185867	7.2	7
Virginia	2013	601	8260405	7.3	7
Virginia	2014	626	8326289	7.5	7.1
Virginia	2015	631	8382993	7.5	7.1
Virginia	2016	671	8411808	8	7.5
Virginia	2017	673	8470020	7.9	7.6
Virginia	2018	679	8517685	8	7.5
Virginia	2019	662	8535519	7.8	7.3
Virginia	2020	697	8590563	8.1	7.7
Washington	1999	450	5842564	7.7	7.8
Washington	2000	391	5894121	6.6	6.7
Washington	2001	391	5985722	6.5	6.6
Washington	2002	437	6052349	7.2	7.3
Washington	2003	436	6104115	7.1	7.1
Washington	2004	423	6178645	6.8	6.8
Washington	2005	398	6257305	6.4	6.2
Washington	2006	397	6370753	6.2	6.1
Washington	2007	413	6461587	6.4	6.2
Washington	2008	439	6562231	6.7	6.5
Washington	2009	471	6667426	7.1	6.9
Washington	2010	464	6724540	6.9	6.7
Washington	2011	496	6830038	7.3	6.9
Washington	2012	529	6897012	7.7	7.4
Washington	2013	483	6971406	6.9	6.6
Washington	2014	551	7061530	7.8	7.5
Washington	2015	539	7170351	7.5	7.2
Washington	2016	515	7288000	7.1	6.7
Washington	2017	639	7405743	8.6	8.2
Washington	2018	601	7535591	8	7.5
Washington	2019	638	7614893	8.4	8
Washington	2020	618	7693612	8	7.7
West Virginia	1999	172	1811799	9.5	8.9
West Virginia	2000	174	1808344	9.6	9.3
West Virginia	2001	195	1801481	10.8	10.1
West Virginia	2002	189	1805414	10.5	10.1
West Virginia	2003	192	1812295	10.6	9.9
West Virginia	2004	192	1816438	10.6	10.2
West Virginia	2005	189	1820492	10.4	9.7
West Virginia	2006	179	1827912	9.8	9.1
West Virginia	2007	205	1834052	11.2	10.6
West Virginia	2008	172	1840310	9.3	8.7
West Virginia	2009	178	1847775	9.6	9
West Virginia	2010	210	1852994	11.3	10.5
West Virginia	2011	200	1855364	10.8	10
West Virginia	2012	198	1855413	10.7	10.1
West Virginia	2013	225	1854304	12.1	11.3
West Virginia	2014	217	1850326	11.7	10.6
West Virginia	2015	215	1844128	11.7	10.4
West Virginia	2016	238	1831102	13	12
West Virginia	2017	268	1815857	14.8	13.8
West Virginia	2018	257	1805832	14.2	13.1
West Virginia	2019	196	1792147	10.9	10.2
West Virginia	2020	220	1784787	12.3	11.5
Wisconsin	1999	303	5332666	5.7	5.6
Wisconsin	2000	312	5363675	5.8	5.8
Wisconsin	2001	322	5406835	6	5.9
Wisconsin	2002	309	5445162	5.7	5.6
Wisconsin	2003	310	5479203	5.7	5.5
Wisconsin	2004	309	5514026	5.6	5.5
Wisconsin	2005	302	5546166	5.4	5.4
Wisconsin	2006	299	5577655	5.4	5.3
Wisconsin	2007	338	5610775	6	5.9
Wisconsin	2008	348	5640996	6.2	6
Wisconsin	2009	345	5669264	6.1	5.9
Wisconsin	2010	378	5686986	6.6	6.4
Wisconsin	2011	351	5711767	6.1	5.9
Wisconsin	2012	348	5726398	6.1	5.8
Wisconsin	2013	437	5742713	7.6	7.3
Wisconsin	2014	353	5757564	6.1	5.8
Wisconsin	2015	424	5771337	7.3	6.9
Wisconsin	2016	455	5778708	7.9	7.5
Wisconsin	2017	436	5795483	7.5	7.1
Wisconsin	2018	420	5813568	7.2	6.8
Wisconsin	2019	428	5822434	7.4	6.8
Wisconsin	2020	443	5832655	7.6	7.2
Wyoming	1999	63	491780	12.8	13
Wyoming	2000	52	493782	10.5	10.4
Wyoming	2001	61	494657	12.3	12
Wyoming	2002	82	500017	16.4	16.3
Wyoming	2003	75	503453	14.9	14.8
Wyoming	2004	48	509106	9.4	9.5
Wyoming	2005	56	514157	10.9	10.6
Wyoming	2006	73	522667	14	13.5
Wyoming	2007	67	534876	12.5	12.9
Wyoming	2008	87	546043	15.9	15.7
Wyoming	2009	82	559851	14.6	14.9
Wyoming	2010	83	563626	14.7	13.8
Wyoming	2011	84	568158	14.8	14.6
Wyoming	2012	102	576412	17.7	17.4
Wyoming	2013	89	582658	15.3	14.4
Wyoming	2014	78	584153	13.4	13.6
Wyoming	2015	95	586107	16.2	16.6
Wyoming	2016	88	585501	15	15.1
Wyoming	2017	99	579315	17.1	16.6
Wyoming	2018	108	577737	18.7	18.4
Wyoming	2019	114	578759	19.7	19.1
Wyoming	2020	128	582328	22	20.9
